name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2018-07-13,84.6,70,76.2,84,70,76.2,62,63.3,0,0,0,,0,0,23,6.5,181.9,1023.5,1.8,9.9,292.7,25.4,9,,2018-07-13T05:36:13,2018-07-13T20:27:02,0.02,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-14,89,70.2,79.7,90.8,70.2,80.5,62.9,57.8,0,0,0,,0,0,24.2,8.1,231.4,1020.2,17.1,9.8,270.1,23.4,9,,2018-07-14T05:36:58,2018-07-14T20:26:29,0.05,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-15,85.8,70.1,75.9,90,70.1,76.8,69.2,80.9,0.188,100,37.5,rain,0,0,,6.6,245.2,1016.7,47.5,9.5,152.4,13.1,6,,2018-07-15T05:37:44,2018-07-15T20:25:54,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-16,89.9,75,81.8,99.2,75,85.5,71.7,72.5,0.009,100,4.17,rain,0,0,24.2,19.7,196.7,1014.5,4.1,9.8,281.8,24.2,9,,2018-07-16T05:38:32,2018-07-16T20:25:17,0.12,Rain,Clear conditions throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417"
New York,2018-07-17,88.8,71.6,78.2,97.9,71.6,80.4,72.1,82.4,0.141,100,29.17,rain,0,0,23,20.8,223.8,1012.4,47.8,9.3,153.8,13.3,9,,2018-07-17T05:39:20,2018-07-17T20:24:39,0.15,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-18,83.7,69.9,77,84.7,69.9,76.8,58.9,56.7,0,0,0,,0,0,23,17.2,349.7,1011.9,30.5,9.9,292,25.1,9,,2018-07-18T05:40:09,2018-07-18T20:23:58,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-07-19,81.5,67.5,74.3,80.3,67.5,74.1,51.6,46,0,0,0,,0,0,,11.4,63.8,1018.1,2.4,9.9,316.8,27.3,10,,2018-07-19T05:40:58,2018-07-19T20:23:16,0.25,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-20,82.1,69.4,74.7,82.3,69.4,74.7,59.9,61.5,0,0,0,,0,0,21.9,11.4,166.3,1020.5,19.8,9.8,299.5,25.8,9,,2018-07-20T05:41:49,2018-07-20T20:22:31,0.26,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-21,76.4,65.5,71.6,76.4,65.5,71.6,59.2,65.7,0.244,100,12.5,rain,0,0,21.9,20.8,73.6,1017.5,56.1,9.2,222.3,19.1,9,,2018-07-21T05:42:40,2018-07-21T20:21:45,0.29,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-22,79.2,67.5,74.8,79.2,67.5,74.8,70.9,88,1.282,100,54.17,rain,0,0,39,25.3,131.6,1012.7,98.9,7,155.7,13.4,7,,2018-07-22T05:43:32,2018-07-22T20:20:58,0.32,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-23,80.9,73.9,77.1,85.9,73.9,77.8,73.1,88,0.184,100,29.17,rain,0,0,36.8,18.3,156.3,1018.9,97.9,7.5,146,12.7,7,,2018-07-23T05:44:25,2018-07-23T20:20:08,0.36,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-24,82,75.5,78.7,86.8,75.5,80.4,72.7,82.3,0.014,100,4.17,rain,0,0,34.4,18.3,155.6,1021.4,95.7,8.9,183.2,15.9,8,,2018-07-24T05:45:18,2018-07-24T20:19:16,0.39,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-25,77.5,73.4,76.1,77.5,73.4,76.1,72.8,89.8,0.678,100,50,rain,0,0,31.2,19.7,162.8,1015.3,99.8,7.9,124.3,10.8,5,,2018-07-25T05:46:12,2018-07-25T20:18:23,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-26,84.4,72.8,78.3,88.1,72.8,79.9,69.9,76.9,0.092,100,16.67,rain,0,0,16.1,6.4,253.6,1011.2,61.4,9.2,161.7,13.9,7,,2018-07-26T05:47:06,2018-07-26T20:17:29,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-27,85.7,70.2,78.5,91.2,70.2,80,69.8,75.5,0.198,100,33.33,rain,0,0,21.9,13.9,186.9,1014.8,47.8,8.4,214.7,18.5,8,,2018-07-27T05:48:01,2018-07-27T20:16:32,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-28,84.6,70.6,77.7,87.5,70.6,79,68.3,74.9,0,0,0,,0,0,,9.2,298.7,1015,41,7.8,254.3,21.9,9,,2018-07-28T05:48:56,2018-07-28T20:15:34,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,AN736,KLGA,KNYC,F1417,72503014732"
New York,2018-07-29,81.5,71.6,76.8,82.2,71.6,77,60.6,57.9,0,0,0,,0,0,,7.2,328.5,1017.9,35.6,9.9,257.4,22.3,8,,2018-07-29T05:49:52,2018-07-29T20:14:34,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-30,77.9,69.6,74.3,77.9,69.6,74.3,62.3,66.7,0.271,100,8.33,rain,0,0,,7.2,87.4,1020.2,27.2,9.7,116.6,10,5,,2018-07-30T05:50:48,2018-07-30T20:13:33,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D9152,72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-07-31,81.3,68.8,74.4,83.2,68.8,74.6,64.3,71.5,0,0,0,,0,0,,11.4,139.9,1019.8,33.1,9.6,232.4,20.1,8,,2018-07-31T05:51:44,2018-07-31T20:12:30,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-08-01,84.9,74.5,79.4,91.9,74.5,82.4,72.4,80.1,0.089,100,25,rain,0,0,26.4,17.2,173.8,1017,81.2,9.1,182,15.7,8,,2018-08-01T05:52:41,2018-08-01T20:11:25,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KNYC,F1417,72503014732"
New York,2018-08-02,87.1,76.7,81.6,94.6,76.7,85.1,71.6,72,0.128,100,16.67,rain,0,0,24.2,9.1,236.3,1018.5,46,9.9,199.1,17.1,7,,2018-08-02T05:53:38,2018-08-02T20:10:20,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
New York,2018-08-03,84.6,74.9,79.3,92.9,74.9,81.1,73.4,82.5,0.217,100,25,rain,0,0,24.2,6.7,204.5,1020.8,55.2,9.8,165.3,14.2,7,,2018-08-03T05:54:35,2018-08-03T20:09:12,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
